loan_time,age,amount,n_credits,people,inst_rate,residence,checking,history,savings,job,job_status,property,housing,for,sex,debtor,OIP,telephone,foreign,default
24,53,2424,2,1,4,4,none,critical,unk_nil,skilled / official,more than 7,BSSA/Life,own,rad_tel,male_single,none,none,2,1,2
30,25,8072,3,1,2,3,< 0,fully repaid,unk_nil,skilled / official,less than 1,Car/Other,own,business,male_single,none,bank,2,1,2
24,44,12579,1,1,4,2,0 to 200,repaid,<100,man/self-em/HQ/off,more than 7,UNK/None,free,car_used,female,none,none,1,1,1
24,31,3430,1,2,3,2,none,repaid,501 to 1000,skilled / official,more than 7,Car/Other,own,rad_tel,male_single,none,none,1,1,2
9,48,2134,3,1,4,4,none,critical,<100,skilled / official,1 to less than 4,Car/Other,own,car_new,male_single,none,none,1,1,2
6,44,2647,1,2,2,3,< 0,repaid,501 to 1000,skilled / official,1 to less than 4,real estate,rent,rad_tel,male_single,none,none,2,1,2
10,48,2241,2,2,1,3,< 0,critical,<100,unskilled (resident),less than 1,real estate,rent,car_new,male_single,none,none,2,2,2
12,44,1804,1,1,3,4,0 to 200,critical,101 to 500,skilled / official,less than 1,BSSA/Life,own,car_used,male_single,none,none,2,1,2
10,26,2069,2,1,2,1,none,critical,unk_nil,skilled / official,1 to less than 4,Car/Other,own,fur_equ,male_mw,none,none,2,2,2
6,36,1374,1,1,1,2,< 0,repaid,<100,unskilled (resident),1 to less than 4,real estate,own,fur_equ,male_single,none,bank,1,1,2
6,39,426,1,1,4,4,none,fully repaid,<100,unskilled (resident),more than 7,Car/Other,own,rad_tel,male_mw,none,none,2,1,2
12,42,409,2,1,3,3,> 201,fully repaid here,>1000,skilled / official,1 to less than 4,real estate,rent,rad_tel,female,none,none,2,1,2
7,34,2415,1,1,3,2,0 to 200,repaid,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,male_single,guarantor,none,2,1,2
60,63,6836,2,1,3,4,< 0,delayed,<100,skilled / official,more than 7,UNK/None,own,business,male_single,none,none,1,1,1
18,36,1913,1,1,3,3,0 to 200,repaid,>1000,skilled / official,less than 1,real estate,own,business,male_mw,none,bank,1,1,2
24,27,4020,1,1,2,2,< 0,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,fur_equ,male_single,none,stores,2,1,2
18,30,5866,2,1,2,2,0 to 200,repaid,101 to 500,skilled / official,1 to less than 4,Car/Other,own,car_new,male_single,none,none,1,1,2
12,57,1264,1,1,4,4,none,critical,unk_nil,unskilled (resident),more than 7,UNK/None,rent,business,male_single,none,none,2,1,2
12,33,1474,1,1,4,1,> 201,repaid,<100,man/self-em/HQ/off,less than 1,BSSA/Life,own,fur_equ,female,none,bank,1,1,2
45,25,4746,2,1,4,2,0 to 200,critical,<100,unskilled (resident),less than 1,BSSA/Life,own,rad_tel,male_single,none,none,2,1,1
48,31,6110,1,1,1,3,none,critical,<100,skilled / official,1 to less than 4,UNK/None,free,edu,male_single,none,bank,1,1,2
18,37,2100,1,1,4,2,> 201,repaid,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,male_single,coapplicant,stores,2,1,1
10,37,1225,1,1,2,2,> 201,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,dom_app,male_single,none,none,1,1,2
9,24,458,1,1,4,3,0 to 200,repaid,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,male_single,none,none,2,1,2
30,30,2333,1,1,4,2,none,repaid,501 to 1000,man/self-em/HQ/off,more than 7,Car/Other,own,rad_tel,male_single,none,bank,2,1,2
12,26,1158,1,1,3,1,0 to 200,repaid,501 to 1000,skilled / official,1 to less than 4,Car/Other,own,rad_tel,male_ds,none,none,1,1,2
18,44,6204,1,2,2,4,0 to 200,delayed,<100,unskilled (resident),1 to less than 4,real estate,own,repairs,male_single,none,none,1,1,2
30,24,6187,2,1,1,4,< 0,critical,101 to 500,skilled / official,4 to less than 7,Car/Other,rent,car_used,male_mw,none,none,2,1,2
48,58,6143,2,1,4,4,< 0,critical,<100,unskilled (resident),more than 7,UNK/None,free,car_used,female,none,stores,2,1,1
11,35,1393,2,1,4,4,none,critical,<100,man/self-em/HQ/off,less than 1,Car/Other,own,car_new,female,none,none,2,1,2
36,39,2299,1,1,4,4,none,repaid,501 to 1000,skilled / official,more than 7,Car/Other,own,rad_tel,male_single,none,none,2,1,2
6,23,1352,1,1,1,2,< 0,repaid,501 to 1000,unemp / unskill (non-res),unemployed,BSSA/Life,rent,car_used,female,none,none,1,1,2
11,39,7228,2,1,1,4,none,critical,<100,unskilled (resident),1 to less than 4,BSSA/Life,own,car_new,male_single,none,none,2,1,2
12,28,2073,1,1,4,2,none,repaid,101 to 500,skilled / official,1 to less than 4,real estate,own,rad_tel,female,coapplicant,none,2,1,2
24,29,2333,1,1,4,2,0 to 200,delayed,unk_nil,unskilled (resident),less than 1,BSSA/Life,own,fur_equ,male_single,none,bank,2,1,2
27,30,5965,2,1,1,2,0 to 200,delayed,<100,man/self-em/HQ/off,more than 7,Car/Other,own,car_used,male_single,none,none,1,1,2
12,25,1262,1,1,3,2,none,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,rad_tel,male_single,none,none,2,1,2
18,31,3378,1,1,2,1,none,repaid,unk_nil,skilled / official,1 to less than 4,BSSA/Life,own,car_used,male_single,none,none,1,1,2
36,57,2225,2,1,4,4,0 to 200,delayed,<100,skilled / official,more than 7,UNK/None,free,car_new,male_single,none,bank,1,1,1
6,26,783,1,2,1,2,none,fully repaid here,unk_nil,unskilled (resident),1 to less than 4,real estate,own,car_new,male_single,guarantor,stores,2,1,2
12,52,6468,1,1,2,1,0 to 200,repaid,unk_nil,man/self-em/HQ/off,unemployed,UNK/None,own,rad_tel,male_single,none,none,1,1,1
36,31,9566,2,1,2,2,none,critical,<100,skilled / official,1 to less than 4,Car/Other,own,rad_tel,female,none,stores,2,1,2
18,23,1961,1,1,3,2,> 201,repaid,<100,man/self-em/HQ/off,more than 7,Car/Other,own,car_new,female,none,none,2,1,2
36,23,6229,2,1,4,4,< 0,critical,<100,unskilled (resident),less than 1,UNK/None,rent,fur_equ,female,coapplicant,none,1,1,1
9,27,1391,1,1,2,1,0 to 200,repaid,<100,skilled / official,1 to less than 4,real estate,own,business,male_mw,none,bank,1,1,2
15,50,1537,2,1,4,4,0 to 200,critical,unk_nil,skilled / official,more than 7,real estate,own,rad_tel,male_single,guarantor,none,1,1,2
36,61,1953,1,1,4,4,0 to 200,fully repaid,<100,man/self-em/HQ/off,more than 7,UNK/None,free,business,male_single,none,none,1,1,1
48,25,14421,1,1,2,2,0 to 200,fully repaid,<100,skilled / official,1 to less than 4,Car/Other,own,business,male_single,none,none,1,1,1
24,26,3181,1,1,4,4,none,repaid,<100,skilled / official,less than 1,BSSA/Life,own,rad_tel,female,none,none,1,1,2
27,48,5190,4,2,4,4,none,repaid,unk_nil,skilled / official,more than 7,BSSA/Life,own,repairs,male_single,none,none,1,1,2
12,29,2171,1,1,2,2,none,repaid,<100,skilled / official,less than 1,Car/Other,own,rad_tel,female,none,bank,2,1,2
12,22,1007,1,1,4,1,0 to 200,repaid,>1000,skilled / official,1 to less than 4,real estate,own,car_new,male_mw,none,none,2,1,2
36,37,1819,1,1,4,4,none,repaid,<100,skilled / official,1 to less than 4,UNK/None,free,edu,male_single,none,stores,1,1,1
36,25,2394,1,1,4,4,none,repaid,unk_nil,skilled / official,1 to less than 4,Car/Other,own,rad_tel,female,none,none,2,1,2
36,30,8133,1,1,1,2,none,repaid,<100,skilled / official,1 to less than 4,BSSA/Life,own,car_used,female,none,bank,2,1,2
7,46,730,2,1,4,2,none,critical,unk_nil,unskilled (resident),more than 7,BSSA/Life,rent,rad_tel,male_single,none,none,1,1,2
8,51,1164,2,2,3,4,< 0,critical,<100,man/self-em/HQ/off,more than 7,UNK/None,free,car_used,male_single,none,bank,1,1,2
42,41,5954,2,1,2,1,0 to 200,critical,<100,unskilled (resident),4 to less than 7,real estate,own,business,female,none,bank,2,1,2
36,40,1977,1,1,4,4,< 0,repaid,unk_nil,man/self-em/HQ/off,more than 7,UNK/None,own,edu,male_single,none,none,1,1,1
12,66,1526,2,1,4,4,< 0,critical,<100,man/self-em/HQ/off,more than 7,UNK/None,free,car_used,male_single,none,none,2,1,2
42,34,3965,1,1,4,3,< 0,repaid,<100,skilled / official,less than 1,Car/Other,own,rad_tel,male_single,none,none,2,1,1
11,51,4771,1,1,2,4,0 to 200,delayed,<100,skilled / official,4 to less than 7,BSSA/Life,own,rad_tel,male_single,none,none,2,1,2
54,39,9436,1,2,2,2,none,fully repaid,unk_nil,unskilled (resident),1 to less than 4,BSSA/Life,own,car_used,male_single,none,none,2,1,2
30,22,3832,1,1,2,1,0 to 200,repaid,<100,skilled / official,less than 1,BSSA/Life,own,fur_equ,male_mw,none,none,2,1,2
24,44,5943,2,1,1,1,none,repaid,unk_nil,skilled / official,less than 1,Car/Other,own,rad_tel,female,none,none,1,1,1
15,47,1213,1,1,4,3,none,repaid,501 to 1000,skilled / official,more than 7,BSSA/Life,own,rad_tel,male_single,none,stores,1,1,2
18,24,1568,1,1,3,4,none,repaid,101 to 500,unskilled (resident),1 to less than 4,BSSA/Life,rent,business,female,none,none,2,1,2
24,58,1755,1,1,4,4,< 0,repaid,<100,unskilled (resident),more than 7,real estate,own,car_used,female,guarantor,none,1,1,2
10,52,2315,1,1,3,4,< 0,repaid,<100,unskilled (resident),more than 7,real estate,own,rad_tel,male_single,none,none,2,1,2
12,29,1412,2,1,4,2,none,critical,<100,man/self-em/HQ/off,1 to less than 4,real estate,own,business,female,guarantor,none,1,1,2
18,27,1295,2,1,4,1,0 to 200,critical,<100,skilled / official,less than 1,BSSA/Life,own,fur_equ,female,none,none,2,1,2
36,47,12612,1,2,1,4,0 to 200,repaid,101 to 500,skilled / official,1 to less than 4,UNK/None,free,edu,male_single,none,none,1,1,1
18,30,2249,1,2,4,3,< 0,repaid,101 to 500,man/self-em/HQ/off,4 to less than 7,Car/Other,own,car_new,male_single,none,none,1,1,2
12,28,1108,2,1,4,3,< 0,fully repaid,<100,skilled / official,4 to less than 7,real estate,own,repairs,male_single,none,none,2,1,1
12,56,618,1,1,4,4,none,critical,<100,skilled / official,more than 7,real estate,own,rad_tel,male_single,none,none,2,1,2
12,54,1409,1,1,4,3,< 0,critical,<100,skilled / official,more than 7,real estate,own,car_used,male_single,none,none,2,1,2
12,33,797,1,2,4,3,none,critical,unk_nil,unskilled (resident),more than 7,BSSA/Life,own,rad_tel,female,none,bank,2,1,1
24,20,3617,2,1,4,4,> 201,critical,unk_nil,skilled / official,more than 7,UNK/None,rent,fur_equ,male_single,coapplicant,none,2,1,2
12,54,1318,1,1,4,4,0 to 200,repaid,>1000,skilled / official,more than 7,real estate,own,car_new,male_single,none,none,1,1,2
54,58,15945,1,1,3,4,0 to 200,fully repaid,<100,skilled / official,less than 1,UNK/None,rent,business,male_single,none,none,1,1,1
12,61,2012,1,1,4,2,none,critical,unk_nil,skilled / official,4 to less than 7,Car/Other,own,edu,female,none,none,2,1,2
18,34,2622,1,1,4,4,0 to 200,repaid,101 to 500,skilled / official,1 to less than 4,Car/Other,own,business,male_single,none,none,2,1,2
36,36,2337,1,1,4,4,0 to 200,critical,<100,skilled / official,more than 7,real estate,own,rad_tel,male_single,none,none,2,1,2
20,36,7057,2,2,3,4,0 to 200,delayed,unk_nil,man/self-em/HQ/off,4 to less than 7,BSSA/Life,rent,car_used,male_single,none,bank,1,1,2
24,41,1469,1,1,4,4,none,repaid,101 to 500,unskilled (resident),more than 7,real estate,rent,car_new,male_mw,none,none,2,1,2
36,24,2323,1,1,4,4,0 to 200,repaid,<100,skilled / official,4 to less than 7,Car/Other,rent,rad_tel,male_single,none,none,2,1,2
6,24,932,1,1,3,2,none,delayed,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,female,none,none,2,1,2
9,35,1919,1,1,4,3,0 to 200,critical,<100,skilled / official,4 to less than 7,Car/Other,rent,fur_equ,male_single,none,none,1,1,2
12,26,2445,1,1,2,4,none,repaid,unk_nil,skilled / official,less than 1,Car/Other,rent,car_used,male_mw,none,none,1,1,2
24,39,11938,2,2,2,3,0 to 200,critical,<100,man/self-em/HQ/off,1 to less than 4,Car/Other,own,car_used,male_single,coapplicant,none,1,1,1
18,39,6458,2,2,2,4,none,fully repaid here,<100,man/self-em/HQ/off,more than 7,UNK/None,own,car_new,male_single,none,bank,1,1,1
12,32,6078,1,1,2,2,0 to 200,repaid,<100,skilled / official,4 to less than 7,Car/Other,own,car_new,male_single,none,none,2,1,2
24,30,7721,1,1,1,2,< 0,repaid,unk_nil,skilled / official,less than 1,BSSA/Life,own,fur_equ,female,none,none,1,2,2
14,35,1410,1,1,1,2,0 to 200,repaid,501 to 1000,skilled / official,more than 7,real estate,own,business,male_mw,none,none,1,1,2
6,31,1449,2,2,1,2,0 to 200,delayed,101 to 500,skilled / official,more than 7,Car/Other,own,business,male_ds,none,bank,2,1,2
15,23,392,1,1,4,4,> 201,repaid,<100,skilled / official,less than 1,BSSA/Life,rent,edu,female,none,none,1,1,2
18,28,6260,1,1,3,3,0 to 200,repaid,<100,unskilled (resident),4 to less than 7,real estate,rent,car_new,male_single,none,none,2,1,2
36,25,7855,2,1,4,2,none,critical,<100,skilled / official,1 to less than 4,real estate,own,car_new,female,none,stores,1,1,1
12,35,1680,1,1,3,1,< 0,repaid,501 to 1000,skilled / official,more than 7,real estate,own,rad_tel,male_mw,none,none,2,1,2
48,47,3578,1,1,4,1,none,critical,unk_nil,skilled / official,more than 7,real estate,own,rad_tel,male_single,none,none,1,1,2
42,30,7174,1,1,4,3,< 0,repaid,unk_nil,man/self-em/HQ/off,4 to less than 7,Car/Other,own,rad_tel,female,none,none,1,1,1
10,27,2132,2,1,2,3,< 0,critical,unk_nil,skilled / official,less than 1,real estate,rent,fur_equ,female,coapplicant,none,2,2,2
33,23,4281,2,1,1,4,< 0,critical,501 to 1000,skilled / official,1 to less than 4,Car/Other,own,fur_equ,female,none,none,2,1,1
12,36,2366,1,1,3,3,0 to 200,critical,501 to 1000,man/self-em/HQ/off,4 to less than 7,Car/Other,own,car_new,male_ds,none,none,1,1,2
21,25,1835,2,1,3,2,< 0,repaid,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,female,none,none,1,1,1
24,41,3868,2,1,4,2,none,critical,<100,man/self-em/HQ/off,more than 7,Car/Other,rent,car_used,female,none,none,1,1,2
12,24,1768,1,1,3,2,none,repaid,<100,unskilled (resident),1 to less than 4,real estate,rent,fur_equ,male_single,none,none,2,1,2
10,63,781,2,1,4,4,> 201,critical,<100,skilled / official,more than 7,UNK/None,free,car_new,male_single,none,none,1,1,2
18,27,1924,1,1,4,3,0 to 200,repaid,unk_nil,skilled / official,less than 1,real estate,rent,fur_equ,female,none,none,2,1,1
12,30,2121,2,1,4,2,< 0,critical,<100,skilled / official,1 to less than 4,BSSA/Life,own,car_new,male_single,none,none,2,1,2
12,40,701,1,1,4,2,< 0,repaid,<100,unskilled (resident),1 to less than 4,real estate,own,rad_tel,male_mw,none,none,2,1,2
12,30,639,1,1,4,2,0 to 200,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,repairs,male_single,none,none,2,1,1
12,34,1860,2,1,4,2,0 to 200,critical,<100,man/self-em/HQ/off,unemployed,Car/Other,own,car_used,male_single,none,none,1,1,2
12,29,3499,2,1,3,2,< 0,critical,<100,skilled / official,1 to less than 4,real estate,own,car_new,female,coapplicant,none,2,1,1
48,24,8487,1,1,1,2,0 to 200,repaid,unk_nil,skilled / official,4 to less than 7,Car/Other,own,car_new,female,none,none,2,1,2
36,29,6887,1,1,4,3,< 0,delayed,<100,skilled / official,1 to less than 4,BSSA/Life,own,edu,male_single,none,stores,1,1,1
15,27,2708,2,1,2,3,none,repaid,<100,unskilled (resident),less than 1,BSSA/Life,own,fur_equ,male_single,none,bank,2,1,2
18,47,1984,2,1,4,4,none,repaid,<100,skilled / official,1 to less than 4,UNK/None,free,fur_equ,male_single,none,bank,2,1,2
60,21,10144,1,1,2,4,none,repaid,101 to 500,skilled / official,4 to less than 7,real estate,own,rad_tel,female,none,none,1,1,2
12,38,1240,2,1,4,2,none,critical,unk_nil,skilled / official,more than 7,real estate,own,rad_tel,female,none,none,1,1,2
27,27,8613,2,1,2,2,none,delayed,>1000,skilled / official,1 to less than 4,Car/Other,own,car_used,male_single,none,none,2,1,2
12,66,766,1,1,4,3,0 to 200,repaid,501 to 1000,unskilled (resident),1 to less than 4,real estate,own,rad_tel,male_single,none,none,2,1,1
15,35,2728,3,1,4,2,0 to 200,critical,unk_nil,skilled / official,4 to less than 7,real estate,own,rad_tel,male_single,guarantor,bank,1,1,2
12,44,1881,1,1,2,2,> 201,repaid,<100,unskilled (resident),1 to less than 4,Car/Other,rent,rad_tel,female,none,none,1,1,2
6,27,709,1,1,2,2,> 201,repaid,>1000,unemp / unskill (non-res),less than 1,real estate,own,car_new,male_mw,none,none,2,2,2
36,30,4795,1,1,4,1,0 to 200,repaid,<100,man/self-em/HQ/off,less than 1,UNK/None,own,rad_tel,female,none,none,1,1,2
27,27,3416,1,1,3,2,< 0,repaid,<100,man/self-em/HQ/off,1 to less than 4,Car/Other,own,rad_tel,male_single,none,none,2,1,2
18,22,2462,1,1,2,2,< 0,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,fur_equ,male_single,none,none,2,1,1
21,23,2288,1,1,4,4,none,critical,<100,skilled / official,less than 1,BSSA/Life,own,fur_equ,female,none,none,1,1,2
48,30,3566,1,1,4,2,0 to 200,fully repaid here,101 to 500,skilled / official,4 to less than 7,Car/Other,own,business,male_single,none,none,2,1,2
6,39,860,2,1,1,4,< 0,critical,<100,skilled / official,more than 7,UNK/None,own,car_new,female,none,none,1,1,2
12,51,682,2,1,4,3,none,critical,101 to 500,skilled / official,4 to less than 7,Car/Other,own,car_new,female,none,none,1,1,2
36,28,5371,2,1,3,2,< 0,critical,<100,skilled / official,1 to less than 4,BSSA/Life,own,fur_equ,male_single,guarantor,none,2,1,2
18,46,1582,2,1,4,4,none,critical,>1000,skilled / official,more than 7,Car/Other,own,rad_tel,male_single,none,none,2,1,2
6,42,1346,1,2,2,4,none,repaid,101 to 500,skilled / official,more than 7,UNK/None,free,rad_tel,male_single,none,bank,1,1,2
10,38,1924,1,1,1,4,none,repaid,<100,skilled / official,1 to less than 4,BSSA/Life,own,rad_tel,male_single,none,none,1,2,2
36,24,5848,1,1,4,1,> 201,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,rad_tel,male_single,none,none,2,1,2
24,29,7758,1,1,2,4,0 to 200,critical,>1000,skilled / official,more than 7,UNK/None,rent,car_used,female,none,none,2,1,2
24,36,6967,1,1,4,4,0 to 200,delayed,101 to 500,man/self-em/HQ/off,4 to less than 7,Car/Other,rent,business,male_single,none,none,1,1,2
12,20,1282,1,1,2,4,< 0,repaid,<100,skilled / official,1 to less than 4,Car/Other,rent,fur_equ,female,none,none,2,1,1
9,48,1288,2,2,3,4,< 0,critical,101 to 500,skilled / official,more than 7,real estate,own,repairs,male_single,guarantor,none,2,2,2
12,45,339,1,1,4,1,< 0,fully repaid here,<100,unskilled (resident),more than 7,Car/Other,own,retain,male_mw,none,bank,2,1,2
24,38,3512,2,1,2,3,0 to 200,repaid,101 to 500,skilled / official,4 to less than 7,Car/Other,own,car_new,male_single,none,bank,1,1,2
6,34,1898,2,2,1,2,none,critical,unk_nil,unskilled (resident),1 to less than 4,real estate,own,rad_tel,male_single,none,none,2,1,2
24,36,2872,1,2,3,4,none,critical,101 to 500,skilled / official,more than 7,real estate,own,rad_tel,male_single,none,none,1,1,2
18,30,1055,2,1,4,1,none,critical,<100,skilled / official,less than 1,BSSA/Life,own,car_new,female,none,none,2,1,2
15,36,1262,2,1,4,3,none,repaid,501 to 1000,skilled / official,4 to less than 7,BSSA/Life,own,dom_app,male_single,none,none,1,1,2
10,70,7308,1,1,2,4,0 to 200,repaid,<100,man/self-em/HQ/off,unemployed,UNK/None,free,car_new,male_single,none,bank,1,1,2
36,36,909,1,1,4,4,none,repaid,501 to 1000,skilled / official,more than 7,BSSA/Life,own,car_new,male_single,none,none,2,1,2
6,32,2978,1,1,1,2,none,repaid,501 to 1000,skilled / official,1 to less than 4,Car/Other,own,fur_equ,male_single,none,none,1,1,2
18,33,1131,1,1,4,2,< 0,repaid,<100,skilled / official,unemployed,Car/Other,own,fur_equ,female,none,none,2,1,1
11,20,1577,1,1,4,1,0 to 200,repaid,>1000,skilled / official,less than 1,real estate,own,fur_equ,female,none,none,2,1,2
24,25,3972,1,1,2,4,none,repaid,<100,skilled / official,4 to less than 7,BSSA/Life,rent,fur_equ,female,none,none,1,1,2
24,31,1935,2,1,4,4,0 to 200,critical,<100,skilled / official,more than 7,real estate,own,business,male_ds,none,none,1,1,1
15,33,950,2,2,4,3,< 0,fully repaid,<100,skilled / official,more than 7,Car/Other,rent,car_new,male_single,none,none,2,1,1
12,26,763,1,1,4,1,none,repaid,<100,skilled / official,1 to less than 4,real estate,own,fur_equ,female,none,none,1,1,2
24,34,2064,1,1,3,2,0 to 200,delayed,<100,man/self-em/HQ/off,unemployed,BSSA/Life,own,fur_equ,female,none,none,1,1,1
8,33,1414,1,1,4,2,0 to 200,repaid,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,male_single,guarantor,none,2,2,2
21,26,3414,2,1,2,1,< 0,delayed,<100,skilled / official,less than 1,BSSA/Life,own,edu,male_single,none,none,2,1,1
30,53,7485,1,1,4,1,none,fully repaid here,unk_nil,man/self-em/HQ/off,unemployed,real estate,own,car_used,female,none,bank,1,1,1
12,42,2577,1,1,2,1,< 0,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,fur_equ,male_ds,none,none,2,1,2
6,52,338,2,1,4,4,< 0,critical,501 to 1000,skilled / official,more than 7,Car/Other,own,rad_tel,male_single,none,none,2,1,2
12,31,1963,2,2,4,2,none,repaid,<100,man/self-em/HQ/off,4 to less than 7,Car/Other,rent,rad_tel,male_single,none,none,1,1,2
21,65,571,2,1,4,4,< 0,critical,<100,skilled / official,more than 7,real estate,own,car_new,male_single,none,none,2,1,2
36,28,9572,2,1,1,1,none,delayed,<100,skilled / official,less than 1,Car/Other,own,business,male_ds,none,none,2,1,1
36,30,4455,2,1,2,2,0 to 200,delayed,<100,man/self-em/HQ/off,1 to less than 4,real estate,own,business,male_ds,none,stores,1,1,1
21,40,1647,2,2,4,2,< 0,fully repaid here,unk_nil,unskilled (resident),1 to less than 4,BSSA/Life,own,car_new,male_single,none,none,2,1,1
24,50,3777,1,1,4,4,none,critical,>1000,skilled / official,1 to less than 4,real estate,own,fur_equ,male_single,none,none,1,1,2
18,36,884,1,2,4,4,0 to 200,critical,<100,skilled / official,more than 7,Car/Other,own,car_new,male_single,none,bank,1,1,1
15,31,1360,2,1,4,2,none,critical,<100,skilled / official,1 to less than 4,BSSA/Life,own,rad_tel,male_single,none,none,2,1,2
9,74,5129,1,2,2,4,0 to 200,fully repaid here,<100,man/self-em/HQ/off,more than 7,UNK/None,free,car_used,female,none,bank,1,1,1
16,68,1175,3,1,2,3,0 to 200,critical,<100,unemp / unskill (non-res),unemployed,Car/Other,free,car_new,male_single,none,none,1,1,2
12,20,674,1,1,4,1,< 0,repaid,101 to 500,skilled / official,4 to less than 7,BSSA/Life,own,rad_tel,male_mw,none,none,2,1,1
18,33,3244,2,1,1,4,0 to 200,fully repaid,<100,skilled / official,1 to less than 4,Car/Other,own,fur_equ,female,none,bank,1,1,2
24,54,4591,3,1,2,3,none,repaid,>1000,man/self-em/HQ/off,1 to less than 4,BSSA/Life,own,business,male_single,none,none,1,1,1
48,34,3844,1,2,4,4,0 to 200,fully repaid,101 to 500,unskilled (resident),4 to less than 7,UNK/None,free,business,male_single,none,none,2,1,1
27,36,3915,1,2,4,2,0 to 200,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,business,male_single,none,none,1,1,1
6,29,2108,1,1,2,2,none,repaid,<100,skilled / official,4 to less than 7,real estate,rent,rad_tel,male_mw,none,none,2,1,2
45,21,3031,1,1,4,4,0 to 200,repaid,101 to 500,skilled / official,1 to less than 4,BSSA/Life,rent,rad_tel,male_single,guarantor,none,2,1,1
9,34,1501,2,1,2,3,0 to 200,critical,<100,man/self-em/HQ/off,more than 7,Car/Other,own,edu,female,none,none,1,1,1
6,28,1382,2,1,1,1,none,critical,<100,skilled / official,1 to less than 4,Car/Other,own,rad_tel,female,none,none,1,1,2
12,27,951,4,1,4,4,0 to 200,repaid,101 to 500,skilled / official,less than 1,Car/Other,rent,fur_equ,female,none,bank,2,1,1
24,36,2760,1,1,4,4,0 to 200,repaid,unk_nil,skilled / official,more than 7,UNK/None,free,car_used,male_single,none,bank,1,1,2
18,40,4297,1,1,4,3,0 to 200,delayed,<100,man/self-em/HQ/off,more than 7,UNK/None,own,fur_equ,male_ds,none,none,1,1,1
9,52,936,2,1,4,2,none,critical,501 to 1000,skilled / official,more than 7,Car/Other,own,edu,male_single,none,none,1,1,2
12,27,1168,1,1,4,3,< 0,repaid,<100,unskilled (resident),1 to less than 4,real estate,own,car_new,male_mw,none,none,2,1,2
27,26,5117,2,1,3,4,none,delayed,<100,skilled / official,4 to less than 7,Car/Other,own,business,male_single,none,none,2,1,2
12,21,902,1,1,4,4,< 0,repaid,<100,skilled / official,4 to less than 7,BSSA/Life,rent,retain,male_mw,none,none,2,1,1
